id,error,error_type,name,time,memory,username
294," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:11:10: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",WA,C,0.013646743999999999,780,u4cse16109
304," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.0036716170000000003,780,u4cse16121
308," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;number); ^~~~~~~~~~~~~~~~~~~ ",WA,C,0.0035555409999999997,780,u4cse16165
319," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.005001358,780,u4cse16102
320," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;number); ^~~~~~~~~~~~~~~~~~~ ",WA,C,0.007636868000000001,780,u4cse16165
322," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.0049690229999999995,780,u4cse16102
323," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;number); ^~~~~~~~~~~~~~~~~~~ ",WA,C,0.0038468359999999997,780,u4cse16165
325," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.00368453,780,u4cse16165
326," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.003358269,780,u4cse16165
328," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.0041825690000000006,780,u4cse16165
333," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.003830762,780,u4cse16165
340," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.004192727,780,u4cse16165
345," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.004151447,780,u4cse16165
410," return type defaults to ‘int’ [-Wimplicit-int] main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:6:5: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d%d"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~ ",WA,C,0.011739933000000001,780,pottiabhinay_2001
581," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d\n"", &amp;n); ^~~~~~~~~~~~~~~~~ ",WA,C,0.004603472,780,nitindantu1
584," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;n); ^~~~~~~~~~~~~~~ ",WA,C,0.004189587,780,nitindantu1
588," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;n); ^~~~~~~~~~~~~~~ ",WA,C,0.005083184,780,nitindantu1
592," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;n); ^~~~~~~~~~~~~~~ ",WA,C,0.004833597,780,nitindantu1
594," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;n); ^~~~~~~~~~~~~~~ ",WA,C,0.003956225,780,nitindantu1
598," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;n); ^~~~~~~~~~~~~~~ fraclake.c:9:12: ‘t’ may be used uninitialized in this function [-Wmaybe-uninitialized] while(t--) ~^~ ",WA,C,0.004236834,780,nitindantu1
1398," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:8:3: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d%d"",&amp;x,&amp;y); ^~~~~~~~~~~~~~~~~~~ ",WA,C,0.061045253,780,U4CSE17418
1399," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:8:3: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;x); ^~~~~~~~~~~~~~ aplusb.c:9:3: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;y); ^~~~~~~~~~~~~~ ",WA,C,0.108879373,780,U4CSE17418
1400," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:8:3: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;x); ^~~~~~~~~~~~~~ aplusb.c:9:3: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;y); ^~~~~~~~~~~~~~ ",WA,C,0.079787161,780,U4CSE17418
1401," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:8:3: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;x); ^~~~~~~~~~~~~~ aplusb.c:9:3: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;y); ^~~~~~~~~~~~~~ ",WA,C,0.076218203,780,U4CSE17418
1418," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:7:5: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld%lld"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~~~~ ",WA,C,0.014017482,780,U4CSE17363
1419," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:7:5: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld%lld"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~~~~ ",WA,C,0.015353221,780,U4CSE17363
1437," return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ sortingindex.c: In function ‘main’: sortingindex.c:5:1: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;N); ^~~~~~~~~~~~~~ sortingindex.c:8:1: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;Len,&amp;index); ^~~~~~~~~~~~~~~~~~~~~~~~~~ sortingindex.c:13:2: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;Arr[j]); ^~~~~~~~~~~~~~~~~~~ ",WA,C,0.027420832000000003,780,U4CSE17258
